pageName;user;ultimamodif;;;;
$nom_esp;soporte.herramientas;;;;;
PSPA:Servidores:SAX00010161:ESPECIFICA;soporte.herramientas;;;;;
PSPA:Servidores:SAX00010180:ESPECIFICA;soporte.herramientas;;;;;
PSGC:Servidores:SLX00010120:ESPECIFICA;soporte.herramientas;;;;;
PSES:Servidores:SLX00010188:ESPECIFICA;soporte.herramientas;;;;;
PSES:Servidores:SLX00010413:ESPECIFICA;soporte.herramientas;;;;;
PSES:Servidores:SLX00010439:ESPECIFICA;soporte.herramientas;;;;;
CAPRABO:Servidores:W2K3WSAPP01:ESPECIFICA;soporte.herramientas;;;;;
CAPRABO:Servidores:W2K3WSAPP02:ESPECIFICA;soporte.herramientas;;;;;
PSGS:Servidores:SLX00012089:ESPECIFICA;soporte.herramientas;;;;;
Circuitos:Economico-Financiero:Aportaciones;admin;30/04/2015 17:29;;;;
Prueba_reinicio_hascript_linuc_APBBDD;i6020;30/10/2015 12:26;;;;
Prueba_ParadaArranqueBBDD_Oracle;i0665;04/11/2015 21:27;;;;
Plantillas:Aplicaciones;i0028;09/12/2015 16:09;;;;
prueba_reinicio_apli_startall;i6020;29/12/2015 10:19;;;;
prueba_reinicio_linux_bbdd;i6020;29/12/2015 16:09;;;;
Servidor;i0028;19/07/2016 16:51;;;;
Aplicacion;i0028;19/07/2016 16:53;;;;
PSES:BaseDatos:SLX00012003_PLANOWEB;soporte.herramientas;28/11/2016 15:51;;;;
PSGC:BaseDatos:SLX00012003_PREMOFER;soporte.herramientas;28/11/2016 15:51;;;;
PSPA:BaseDatos:SLX00012003_REDENCION;soporte.herramientas;28/11/2016 15:51;;;;
PSES:BaseDatos:SLX00012003_SPAGOBI;soporte.herramientas;28/11/2016 15:51;;;;
PSPA:BaseDatos:SLX00010404_PMYECOFIN;soporte.herramientas;28/11/2016 15:51;;;;
PSGC:BaseDatos:SLX00010788_ALFRESCOPV;soporte.herramientas;28/11/2016 15:51;;;;
PSGC:BaseDatos:SLX00012003_ALFRESCOPV;soporte.herramientas;28/11/2016 15:51;;;;
PSGC:BaseDatos:SLX00010600_GAMMA2;soporte.herramientas;28/11/2016 15:51;;;;
PSGC:BaseDatos:SLX00010444_MDP;soporte.herramientas;28/11/2016 15:51;;;;
PSGS:BaseDatos:SLX00012003_SISPLAT;soporte.herramientas;28/11/2016 15:51;;;;
PSES:BaseDatos:SLX00012003_ALFRESCO;soporte.herramientas;28/11/2016 15:51;;;;
PSES:BaseDatos:SLX00012003_BPM;soporte.herramientas;28/11/2016 15:51;;;;
PSPA:BaseDatos:SLX00012003_DEPAYCARD;soporte.herramientas;28/11/2016 15:51;;;;
PSGC:BaseDatos:SLX00010444_ALFRESCO;soporte.herramientas;28/11/2016 15:51;;;;
PSGC:BaseDatos:SLX00012003_DGAMMA2;soporte.herramientas;28/11/2016 15:51;;;;
PSES:BaseDatos:SLX00012003_DPORTALPSES;soporte.herramientas;28/11/2016 15:51;;;;
PSES:BaseDatos:SLX00012003_MYSQLSLX14;soporte.herramientas;28/11/2016 15:51;;;;
PSPA:BaseDatos:SLX00010449_PAUGEXTER;soporte.herramientas;28/11/2016 15:51;;;;
PSES:BaseDatos:SLX00010437_PGERSOA;soporte.herramientas;28/11/2016 15:51;;;;
PSPA:BaseDatos:SLX00010427_SIGUE;soporte.herramientas;28/11/2016 15:51;;;;
PSGC:BaseDatos:SLX00010442_ANCOCEN;soporte.herramientas;28/11/2016 15:51;;;;
PSPA:BaseDatos:SLX00010442_PEPAYCARD;soporte.herramientas;28/11/2016 15:51;;;;
PSPA:BaseDatos:SLX00010462_REDENCION;soporte.herramientas;28/11/2016 15:51;;;;
PSES:BaseDatos:SLX00010417_GERTOIP;soporte.herramientas;28/11/2016 15:51;;;;
PSES:BaseDatos:SLX00010436_HQADMIN;soporte.herramientas;28/11/2016 15:51;;;;
PSPA:BaseDatos:SLX00010225_JOOMLA;soporte.herramientas;28/11/2016 15:51;;;;
PSES:BaseDatos:SLX00010438_PORTALARQ;soporte.herramientas;28/11/2016 15:51;;;;
PSGC:BaseDatos:SLX00010458_ALFRESCO;soporte.herramientas;28/11/2016 15:51;;;;
PSES:BaseDatos:SLX00010696_RADIUS;soporte.herramientas;28/11/2016 15:51;;;;
PSPA:BaseDatos:SLX00012003_SIGUE;soporte.herramientas;28/11/2016 15:51;;;;
Cliente Apoyo y NNDD (PSPA-PSNN);i0028;30/11/2016 13:31;;;;
Cliente Logistica (PSGS);i0028;30/11/2016 13:31;;;;
Cliente Punto de Venta;Comercial y Marketing (PSGC-PSPV);i0028;30/11/2016 13:32;;;
Servicios y Explotacion-Tecnologia (PSES);i0028;30/11/2016 13:32;;;;
PSES:BaseDatos:SNT00010649_VINCERTSERVERDB;soporte.herramientas;20/01/2017 8:00;;;;
PSGC:BaseDatos:SLX00010402_PREMOFER;soporte.herramientas;04/02/2017 8:00;;;;
Sincronizar_NEO_Ekipedia;i0028;16/02/2017 10:16;;;;
pagina en html;i1307;24/02/2017 11:52;;;;
nuevio_html;i1307;24/02/2017 11:54;;;;
psgs:circuitos:origen:destino:Explicacion;i1307;24/02/2017 12:15;;;;
enrike;i1307;01/03/2017 11:02;;;;
Prueba_plantilla_aplicaciones;i1307;03/03/2017 13:04;;;;
PSGS:Aplicaciones:GESTRA;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:INDICADORES;soporte.herramientas;17/03/2017 10:43;;;;
PSES:Aplicaciones:RIGHTFAX;soporte.herramientas;17/03/2017 10:43;;;;
PSES:Aplicaciones:NAGIOS_CHECK_MK;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:DISCOVERER_GESPLAT;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:DISCOVERER_SISLOGDA;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:DISCOVERER_SISLOGM;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:DISCOVERER_SISLOGU;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:DISCOVERER_SISLOGW;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:DISCOVERER_SISLOGZ;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:DOCONLINE;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:SIP;soporte.herramientas;17/03/2017 10:43;;;;
PSES:Aplicaciones:PETAPL;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:GISAE;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:PUF;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:DISCOVERER_SISLOGML;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:DISCOVERER_SISLOGMN;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:DISCOVERER_SISLOGIB;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:GCITAPREVIAOPTICA;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:GCITAPREVIA;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:EPAYCARD;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:ALFRESCO_PROMOCIONES;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:MDP;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:ANCOCEN;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:KADM_SLX354;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:NETTIME_SUPER;soporte.herramientas;17/03/2017 10:43;;;;
PSES:Aplicaciones:NEO;soporte.herramientas;17/03/2017 10:43;;;;
PSES:Aplicaciones:ABACO;soporte.herramientas;17/03/2017 10:43;;;;
PSES:Aplicaciones:POP;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:COMPRAS;soporte.herramientas;17/03/2017 10:43;;;;
PSES:Aplicaciones:COPAPL;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:PENTAHO-MDP;soporte.herramientas;17/03/2017 10:43;;;;
PSES:Aplicaciones:GERSOA_HYPERIC;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:SISMANT;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:WEBDAV_DE_AREACLIENTE;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:CBC_NESTLE;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:CRMECO;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:NETTIME_HIPER;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:JOYERIA;soporte.herramientas;17/03/2017 10:43;;;;
PSES:Aplicaciones:COPROYER;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:ELECTROVENTA;soporte.herramientas;17/03/2017 10:43;;;;
PSES:Aplicaciones:COCAM;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:SURFING;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:GREDISA_ARQUITECTURA_TECNICA;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:PIN8;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:OPENCMS;soporte.herramientas;17/03/2017 10:43;;;;
PSES:Aplicaciones:PROVESIEC;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:UNIDIN;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:DISCOVERER_SISLOG50;soporte.herramientas;17/03/2017 10:43;;;;
PSES:Aplicaciones:ANTIVIRUS;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:ARIES;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:ALVIC;soporte.herramientas;17/03/2017 10:43;;;;
PSES:Aplicaciones:ATERPE;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:SPSS;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:SAVE_LOGISTICA;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:KOSCONFIG;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:MEJOGAMA;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:PROCESO_PDV;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:NEXIUM_PDRP;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:NEXIUM_EPM;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:SAVE_CATALOGO;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:CATELEC;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:SISPLAT;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:RECARGAS_CAJERO_EMOVIL;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:LOGESTIC;soporte.herramientas;17/03/2017 10:43;;;;
PSES:Aplicaciones:CEBI;soporte.herramientas;17/03/2017 10:43;;;;
PSES:Aplicaciones:TESTA;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:GESCAL;soporte.herramientas;17/03/2017 10:43;;;;
PSES:Aplicaciones:GTF;soporte.herramientas;17/03/2017 10:43;;;;
PSES:Aplicaciones:SUBVERSION;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:INFOLOG;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:FUELPOS;soporte.herramientas;17/03/2017 10:43;;;;
PSES:Aplicaciones:PLANEST;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:REPORTS_SIC;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:DISCOVERER_LOGESTIC;soporte.herramientas;17/03/2017 10:43;;;;
PSES:Aplicaciones:CEBI2;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:INEMO;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:NILO;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:AREACLIENTE;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:AREACLIENTE_WEBSERVICES;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:PEDIDOSECO;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:GTE;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:GREDISA_SIA;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:MDMP;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:NETTIME_CAPRABO;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:LEAN_PESCA_PROVEEDOR;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:PANDORA;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:FUELPOS_HOME_BASE;soporte.herramientas;17/03/2017 10:43;;;;
PSGS:Aplicaciones:SISPLAN;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:OMEGA;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:KALIBRATE;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:SURTIDO_CONTIGO;soporte.herramientas;17/03/2017 10:43;;;;
PSES:Aplicaciones:CLOUD_CONTROL_13;soporte.herramientas;17/03/2017 10:43;;;;
PSGC:Aplicaciones:LEAN_PESCA_GESTOR;soporte.herramientas;17/03/2017 10:43;;;;
PSPA:Aplicaciones:WSCOGECO;soporte.herramientas;17/03/2017 10:54;;;;
PSPA:Aplicaciones:ENTREVAL;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:ENTREVUTIL;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:FACTURACION_Y_PAGOS;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:SITEF;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:SOCECA;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:SOCIOS_DE_CONSUMO;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:SOCIOS_DE_CUOTA;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:SCIIF;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:ENFORMA;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:COGECO;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:MO;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:GESGRUPO;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:INFORECO;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:AIGE;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:ALI_SOCIAL;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:APPCCUNI;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:ASEGURA;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:AUGE;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:BUENAS_PRACTICAS;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:CLIENTES_CUOTA;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:CONTRATOSDIS;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:REPORTS_FINAN;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:CUENTA_CAPITAL;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:CURRICULUMS;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:FRANGO;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:GESPA;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:GESPROYE;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:GESTION_DOCUMENTAL;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:GTI;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:DISCOVERER_ENTREVAL;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:DISCOVERER_SOCIAL;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:DISCAPPCCUNI;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:LABORATORIO;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:SAP_FORTIUS;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:DWH_TABLONGBI;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:IBMCOGNOS;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:G7_TRAVEL;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:PORTAL_AUGE_DMZ;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:APORTACIONES_VOLUNTARIAS_G7;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:TRAVEL;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:SAP_ADS;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:ORDENA;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:DISCOVERER_CONSUMO;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:GESJUR;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:SAP_HR_-_SIRGO;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:TECNOPREVEN;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:SPEC;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:WEBDAV_DE_ORDENA;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:PORTAL_DEL_MANDO;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:DOCUQV;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:HOJA_DE_CAJA-G7;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:MERIDIAN;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:FRANQUICIADOS_MERIDIAN;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:REDENCION_WEBSERVICE;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:EDITRAN;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:NUSILA;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:PENTAHO;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:WEBADM_166;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:WEBADM_167;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:PUBLI2;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:RECLAMACIONES;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:REPROGRAFIA;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:PRESUPUESTACION;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:SENECA;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:SIGUE;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:SSOPORTAL;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:SUGERENCIAS;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:TABLONSOCIAL;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:TELERECARGA;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:RETOPAPEL;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:DIETAS;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:REDENCION;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:CONSTRAVEL;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:ECORESTO;soporte.herramientas;17/03/2017 11:14;;;;
PSPA:Aplicaciones:DESCUENTO_COMPRA;soporte.herramientas;17/03/2017 11:14;;;;
nuevaaaa;i1307;23/03/2017 13:08;;;;
PSGS:Aplicaciones:AIP-HORIZONTE;soporte.herramientas;10/04/2017 9:54;;;;
PSES:Aplicaciones:RADIUS;soporte.herramientas;10/04/2017 9:54;;;;
PSES:BaseDatos:SNT00010404_NETFLOW;soporte.herramientas;20/04/2017 11:40;;;;
PSGC:Aplicaciones:FRAMEWORK_PV;soporte.herramientas;21/04/2017 11:41;;;;
PSGC:Aplicaciones:KRONOS;soporte.herramientas;21/04/2017 11:41;;;;
PSGC:Aplicaciones:MINTEC_DATAGAIN;soporte.herramientas;21/04/2017 13:41;;;;
PSGS:Aplicaciones:LINX_EROSKI_PLATAFORMAS;soporte.herramientas;27/04/2017 8:00;;;;
PSES:Aplicaciones:ASTERISK;soporte.herramientas;12/05/2017 10:56;;;;
PSES:Aplicaciones:SYSLOG;soporte.herramientas;12/05/2017 10:57;;;;
Llenado de filesystem_var_run_Solaris;i1333;15/05/2017 16:42;;;;
Llenado de filesystem_tmp_Solaris;i1333;15/05/2017 16:52;;;;
Llenado de filesystem_opt;i1333;15/05/2017 16:56;;;;
Llenado de filesystem_opt_Solaris;i1333;15/05/2017 16:59;;;;
Llenado_filesystem_boot;i1333;16/05/2017 9:36;;;;
Llenado_filesystem_var_adm_vmy;i1333;16/05/2017 9:54;;;;
Llenado_filesystem_var_adm_say;i1333;16/05/2017 9:57;;;;
Llenado_filesystem_var_log_say;i1333;16/05/2017 10:00;;;;
Llenado_filesystem_home;i1333;16/05/2017 10:03;;;;
Llenado_filesystem_home_gde;i1333;16/05/2017 10:30;;;;
Llenado_filesystem_home_gchpa;i1333;16/05/2017 10:32;;;;
Servicio_syslogd;i1333;16/05/2017 11:03;;;;
Control_proceso_ldap_nscd;i1333;16/05/2017 11:22;;;;
Control_proceso_cron;i1333;16/05/2017 11:27;;;;
TEC:BaseDatos:ORACLE:ProcesosListener;i1333;16/05/2017 11:43;;;;
Llenado de filesystem raiz solaris;i1333;16/05/2017 11:44;;;;
Llenado de filesystem_var Solaris;i1333;16/05/2017 11:48;;;;
Llenado de filesystem_home_aplicacion_datos_nfs;i1333;17/05/2017 8:58;;;;
Llenado de filesystem_home_entornos;i1333;17/05/2017 9:00;;;;
Llenado de filesystem_oracle_rac;i1333;17/05/2017 10:39;;;;
Llenado de filesystem_oramon;i1333;17/05/2017 10:44;;;;
Llenado de filesystem_exports;i1333;17/05/2017 10:46;;;;
Llenado de filesystem_proc_solaris;i1333;17/05/2017 10:52;;;;
Llenado de_backupias;i1333;17/05/2017 11:02;;;;
Servicio_cupsd;i1333;17/05/2017 12:54;;;;
Servicio_qdaemon;i1333;17/05/2017 13:19;;;;
Control_proceso_Impresion;i1333;18/05/2017 8:38;;;;
Control_proceso_oramon;i1333;18/05/2017 9:51;;;;
Control_procesos_RSF;i1333;18/05/2017 9:56;;;;
Errores_de_Forms;i1333;18/05/2017 11:58;;;;
PlantillaProcedimientoReinicioGlassfish_SLXxxx-SLXxxx.htm;i1333;18/05/2017 15:53;;;;
NUEVO procedimiento Generico Para_Arranque aplicaciones de UN DOMINIO CONCRETO_glassfish_dominio_nombredominio.sh;i1333;19/05/2017 8:59;;;;
NUEVO procedimiento Generico Para_Arranque COMPLETO Aplicaciones TODOS DOMINIOS_serveradmin.sh;i1333;19/05/2017 9:19;;;;
NUEVO procedimiento Generico Para_Arranque UNICA Aplicacion jboos_nombredominio_nombreaplicacion.sh;i1333;19/05/2017 10:40;;;;
NUEVO procedimiento Generico Para_Arranque aplicaciones de UN DOMINIO CONCRETO_jboss_dominio_nombredominio.sh;i1333;19/05/2017 10:59;;;;
PSGC:Aplicaciones:GESTIONCARNIC;soporte.herramientas;22/05/2017 15:36;;;;
PSES:Aplicaciones:PACKETFENCE_THANATOS;soporte.herramientas;22/05/2017 17:13;;;;
PSES:Aplicaciones:NETFLOW;soporte.herramientas;23/05/2017 8:00;;;;
TEC:SO:WINDOWS:SNT00010243;i1333;24/05/2017 10:29;;;;
PSES:BaseDatos:SLX00010745_PORTALTIC;soporte.herramientas;31/05/2017 12:39;;;;
PSGC:BaseDatos:SLX00012003_ALBARANESCAP;soporte.herramientas;01/06/2017 8:00;;;;
PSES:BaseDatos:SLX00012003_DPORTALTIC;soporte.herramientas;01/06/2017 8:00;;;;
PSGC:BaseDatos:SLX00012019_ESPACIOCLIENTE;soporte.herramientas;01/06/2017 8:00;;;;
PROC:LPU:Reasignar jobs de un nodo logico a otro nodo logico;i1307;01/06/2017 11:59;;;;
PSPA:Aplicaciones:TU_ZONA;soporte.herramientas;08/06/2017 8:00;;;;
PSGS:Aplicaciones:RDF-HORIZONTE;soporte.herramientas;08/06/2017 8:00;;;;
PSPA:Aplicaciones:AUDI;i1307;08/06/2017 14:53;;;;
Funciones GTFW;i1307;28/06/2017 8:48;;;;
NUEVO procedimiento Generico Para_Arranque UNICA Aplicacion_glassfish_nombredominio_nombreaplicacion.sh;i0490;29/06/2017 16:14;;;;
circuito_nuevo;i1307;07/07/2017 12:27;;;;
PSGS:Servidores:SAS00010010;soporte.herramientas;11/07/2017 13:31;;;;
PSGS:Servidores:SAS00010011;soporte.herramientas;11/07/2017 13:31;;;;
PSGS:Servidores:SAS00010013;soporte.herramientas;11/07/2017 13:31;;;;
PSES:Servidores:SLX00010405;soporte.herramientas;11/07/2017 13:31;;;;
PSPA:Servidores:SLX00010449;soporte.herramientas;11/07/2017 13:31;;;;
